id,symbol,code
"s-express/src/test/scala/org/ensime/sexp/SexpParserCheck.scala:23:53","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(sexp)"
"s-express/src/test/scala/org/ensime/sexp/SexpParserCheck.scala:22:55","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(sexp)"
"s-express/src/test/scala/org/ensime/sexp/SexpParserCheck.scala:24:5","_root_.org.scalatest.prop.GeneratorDrivenPropertyChecks#forAll(Lscala/Function1;Lorg/scalatest/prop/Configuration/PropertyCheckConfigurable;Lorg/scalacheck/Arbitrary;Lorg/scalacheck/Shrink;Lorg/scalatest/enablers/CheckerAsserting;Lorg/scalactic/Prettifier;Lorg/scalactic/source/Position;)Ljava/lang/Object;.","forAll{(sexp:Sexp)=>\nvalcompact=SexpCompactPrinter(sexp)\n//println(compact)\nvalpretty=SexpPrettyPrinter(sexp)\n//itmightbeworthwhilecreatingatest-onlyprinterthatadds\n//superfluouswhitespace/comments\n\nwithClue(compact)(parse(compact)should===(sexp))\nwithClue(pretty)(parse(pretty)should===(sexp))\n}"
"s-express/src/main/scala/org/ensime/sexp/SexpParser.scala:106:51","<unknownfun:P>","P((Integer~Frac.?~Exp.?).!)"
"s-express/src/main/scala/org/ensime/sexp/SexpParser.scala:125:19","<unknownfun:P>","P('\''~SexpP)"
"s-express/src/main/scala/org/ensime/sexp/SexpParser.scala:67:64","<unknownfun:P>","P(LeftBrace~SexpP~(Whitespace~SexpP).rep~RightBrace)"
"s-express/src/main/scala/org/ensime/sexp/SexpParser.scala:103:23","<unknownfun:CharIn>","CharIn('d')"
"s-express/src/main/scala/org/ensime/sexp/SexpParser.scala:63:77","<unknownfun:P>","P(LeftBrace~SexpP~Whitespace~'.'~Whitespace~SexpP~RightBrace)"
"s-express/src/main/scala/org/ensime/sexp/SexpParser.scala:135:29","<unknownfun:P>","P(LeftBrace~RightBrace)"
"s-express/src/main/scala/org/ensime/sexp/SexpParser.scala:75:23","<unknownfun:P>","P('?'~NormalChar)"
"s-express/src/main/scala/org/ensime/sexp/SexpParser.scala:139:28","<unknownfun:P>","P(NormalCharPredicate.!)"
"s-express/src/main/scala/org/ensime/sexp/SexpParser.scala:111:35","<unknownfun:CharIn>","CharIn('0'to'9')"
"s-express/src/main/scala/org/ensime/sexp/SexpParser.scala:102:42","<unknownfun:map>","CharIn('e').map(_=>'\u001b')"
"s-express/src/main/scala/org/ensime/sexp/SexpParser.scala:78:31","<unknownfun:P>","P('\''~Characters~'\'')"
"s-express/src/main/scala/org/ensime/sexp/SexpParser.scala:129:80","<unknownfun:P>","P((SymbolStartCharPredicate.rep(1)~SymbolBodyCharPredicate.rep~'?'.?).!)"
"s-express/src/main/scala/org/ensime/sexp/SexpParser.scala:120:49","<unknownfun:map>","StringIn('1.0e+INF').map(_=>SexpPosInf)"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:150:7","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(\nCat(\n'foo',\nSome(\nCat(\n'bar',\nSome(Cat('baz'))\n)\n)\n),\n'''(:nick'foo':tail(:nick'bar':tail(:nick'baz')))'''\n)"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:191:45","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(Huey(Quack,None),'''nil''')"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:154:51","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(Faz(Some('meh')),'''(:o'meh')''')"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:126:26","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(Baz,'()')"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:135:28","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(Bar(),'()')"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:256:7","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(\nfieldTerm:TokenTree,\n'''(:FieldTerm(:text'thingisten':field(:column'THING'):value'10'))'''\n)"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:134:45","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(Foo('foo'),'''(:s'foo')''')"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:178:51","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(Fuzz:SubTrait,'''(:typeFuzz)''')"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:187:52","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(Plooba('poo'),'''(:THING'poo')''')"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:183:72","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(Plooba('poo'):Cloda,'''(:TYPEPLOOBA:THING'poo')''')"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:165:65","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(Foo('foo'):SimpleTrait,'''(:Foo(:s'foo'))''')"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:168:47","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(Fuzz:SimpleTrait,''':Fuzz''')"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:167:45","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(Baz:SimpleTrait,''':Baz''')"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:179:48","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(Buzz:Spiel,'''(:hintBuzz)''')"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:250:61","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(SpecialToken:TokenTree,''':SpecialToken''')"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:262:7","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(\nand:TokenTree,\n'''(:AndCondition(:left(:FieldTerm(:text'thingisten':field(:column'THING'):value'10')):right(:FieldTerm(:text'thingisten':field(:column'THING'):value'10')):text'wibble'))'''\n)"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:192:65","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(Dewey(Quack,None),'''(:ducknil:witchnil)''')"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:155:32","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(Faz(None),'()')"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:166:47","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip(Bar():SimpleTrait,''':Bar''')"
"s-express/src/test/scala/org/ensime/sexp/formats/FamilyFormatsSpec.scala:130:32","_root_.org.ensime.sexp.formats.test.FamilyFormatsSpec#roundtrip(Ljava/lang/Object;Ljava/lang/String;Lorg/ensime/sexp/SexpFormat;)V.","roundtrip('foo,'''foo''')"
"s-express/src/test/scala/org/ensime/sexp/formats/DefaultSexpProtocolSpec.scala:40:55","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(SexpList(SexpString('boo')))"
"s-express/src/test/scala/org/ensime/sexp/formats/DefaultSexpProtocolSpec.scala:23:42","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(empty,SexpList(SexpNil))"
"s-express/src/test/scala/org/ensime/sexp/formats/DefaultSexpProtocolSpec.scala:24:61","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(list,SexpList(SexpList(SexpString('boo'))))"
"s-express/src/test/scala/org/ensime/sexp/formats/DefaultSexpProtocolSpec.scala:45:59","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(Nil)"
"s-express/src/test/scala/org/ensime/sexp/formats/DefaultSexpProtocolSpec.scala:42:60","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(None)"
"s-express/src/test/scala/org/ensime/sexp/formats/DefaultSexpProtocolSpec.scala:25:60","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(None)"
