id,clazz,type,kind
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.org.ensime.sexp.ArbitrarySexp#arbSexp()Lorg/scalacheck/Arbitrary;.","_root_.org.scalacheck.Arbitrary#","Arbitrary[Sexp]","def"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.org.ensime.sexp.formats.SymbolAltFormat#SymbolFormat.","_root_.org.ensime.sexp.SexpFormat#","SexpFormat[Symbol]","val"
"_root_.org.ensime.sexp.formats.LowPriorityFamilyFormats#familyFormat(Lshapeless/LabelledGeneric;Lshapeless/Strict;Lshapeless/Typeable;)Lorg/ensime/sexp/SexpFormat;.","_root_.shapeless.LabelledGeneric.Aux#","[T,Repr]=>(implicitgen:Aux[T,Repr],sg:Cached[Strict[WrappedSexpFormat[T,Repr]]],tpe:Typeable[T]):SexpFormat[T]","def"
"_root_.org.ensime.sexp.formats.formats.ExamplesFormats.SimpleTraitFormat.","_root_.org.ensime.sexp.SexpFormat#","SexpFormat[SimpleTrait]","val"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.org.ensime.sexp.formats.CollectionFormats#genTraversableFormat(Lscala/Predef/$less$colon$less;Lscala/collection/generic/CanBuildFrom;Lorg/ensime/sexp/SexpFormat;)Lorg/ensime/sexp/SexpFormat;.","_root_.scala.Predef.`<:<`#","[T,E]=>(implicitevidence:<:<[T[E],GenTraversable[E]],cbf:CanBuildFrom[T[E],E,T[E]],ef:SexpFormat[E]):SexpFormat[T[E]]","def"
"_root_.org.ensime.sexp.formats.StandardFormats#optionFormat(Lorg/ensime/sexp/SexpFormat;)Lorg/ensime/sexp/SexpFormat;.","_root_.org.ensime.sexp.SexpFormat#","[T]=>(implicitevidence$1:SexpFormat[T]):SexpFormat[Option[T]]","def"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.org.ensime.sexp.formats.BasicFormats#FloatFormat.","_root_.org.ensime.sexp.SexpFormat#","SexpFormat[Float]","val"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.org.ensime.sexp.formats.BasicFormats#DoubleFormat.","_root_.org.ensime.sexp.SexpFormat#","SexpFormat[Double]","val"
"_root_.org.ensime.sexp.formats.BasicFormats#SymbolFormat.","_root_.org.ensime.sexp.SexpFormat#","SexpFormat[Symbol]","val"
"_root_.org.ensime.sexp.formats.BasicFormats#IntFormat.","_root_.org.ensime.sexp.SexpFormat#","SexpFormat[Int]","val"
"_root_.org.ensime.sexp.formats.BasicFormats#LongFormat.","_root_.org.ensime.sexp.SexpFormat#","SexpFormat[Long]","val"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
